,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
1,100.00,-1815746.017,-1815739.625,-1815762.097,-1815738.310,-1815755.382,-1815740.764,-1815743.709,-1815741.009,-1815762.472,-1815745.819,-1815745.539
2,105.00,-1815747.762,-1815741.339,-1815763.801,-1815740.055,-1815757.036,-1815742.522,-1815745.433,-1815742.754,-1815764.206,-1815747.567,-1815747.285
3,110.00,-1815749.531,-1815743.075,-1815765.528,-1815741.823,-1815758.712,-1815744.303,-1815747.179,-1815744.522,-1815765.963,-1815749.337,-1815749.053
4,115.00,-1815751.322,-1815744.833,-1815767.277,-1815743.613,-1815760.410,-1815746.106,-1815748.948,-1815746.313,-1815767.745,-1815751.130,-1815750.844
5,120.00,-1815753.135,-1815746.613,-1815769.049,-1815745.424,-1815762.129,-1815747.931,-1815750.738,-1815748.125,-1815769.549,-1815752.946,-1815752.657
6,125.00,-1815754.970,-1815748.415,-1815770.843,-1815747.258,-1815763.870,-1815749.777,-1815752.550,-1815749.959,-1815771.376,-1815754.784,-1815754.492
7,130.00,-1815756.827,-1815750.237,-1815772.659,-1815749.112,-1815765.632,-1815751.645,-1815754.382,-1815751.814,-1815773.225,-1815756.643,-1815756.349
8,135.00,-1815758.705,-1815752.080,-1815774.496,-1815750.987,-1815767.415,-1815753.534,-1815756.236,-1815753.690,-1815775.096,-1815758.524,-1815758.226
9,140.00,-1815760.604,-1815753.944,-1815776.354,-1815752.883,-1815769.219,-1815755.443,-1815758.110,-1815755.587,-1815776.988,-1815760.425,-1815760.124
10,145.00,-1815762.524,-1815755.829,-1815778.234,-1815754.799,-1815771.042,-1815757.373,-1815760.005,-1815757.504,-1815778.902,-1815762.348,-1815762.043
11,150.00,-1815764.465,-1815757.733,-1815780.133,-1815756.736,-1815772.886,-1815759.323,-1815761.920,-1815759.442,-1815780.837,-1815764.291,-1815763.983
12,155.00,-1815766.426,-1815759.658,-1815782.053,-1815758.693,-1815774.750,-1815761.294,-1815763.854,-1815761.400,-1815782.793,-1815766.255,-1815765.942
13,160.00,-1815768.407,-1815761.602,-1815783.994,-1815760.669,-1815776.633,-1815763.284,-1815765.809,-1815763.378,-1815784.770,-1815768.239,-1815767.922
14,165.00,-1815770.408,-1815763.566,-1815785.954,-1815762.665,-1815778.537,-1815765.294,-1815767.783,-1815765.376,-1815786.767,-1815770.244,-1815769.922
15,170.00,-1815772.429,-1815765.550,-1815787.935,-1815764.681,-1815780.459,-1815767.324,-1815769.777,-1815767.393,-1815788.784,-1815772.268,-1815771.941
16,175.00,-1815774.469,-1815767.553,-1815789.935,-1815766.717,-1815782.402,-1815769.374,-1815771.791,-1815769.431,-1815790.821,-1815774.312,-1815773.980
17,180.00,-1815776.530,-1815769.575,-1815791.955,-1815768.772,-1815784.364,-1815771.443,-1815773.824,-1815771.487,-1815792.879,-1815776.376,-1815776.039
18,185.00,-1815778.610,-1815771.617,-1815793.994,-1815770.846,-1815786.345,-1815773.532,-1815775.876,-1815773.564,-1815794.956,-1815778.459,-1815778.117
19,190.00,-1815780.709,-1815773.678,-1815796.053,-1815772.940,-1815788.345,-1815775.640,-1815777.947,-1815775.659,-1815797.053,-1815780.562,-1815780.215
20,195.00,-1815782.828,-1815775.759,-1815798.132,-1815775.053,-1815790.364,-1815777.768,-1815780.038,-1815777.774,-1815799.170,-1815782.685,-1815782.332
21,200.00,-1815784.967,-1815777.858,-1815800.229,-1815777.185,-1815792.403,-1815779.915,-1815782.148,-1815779.909,-1815801.307,-1815784.827,-1815784.468
22,205.00,-1815787.125,-1815779.977,-1815802.346,-1815779.336,-1815794.461,-1815782.081,-1815784.277,-1815782.062,-1815803.463,-1815786.988,-1815786.624
23,210.00,-1815789.302,-1815782.115,-1815804.483,-1815781.507,-1815796.538,-1815784.266,-1815786.426,-1815784.235,-1815805.638,-1815789.169,-1815788.798
24,215.00,-1815791.498,-1815784.271,-1815806.638,-1815783.696,-1815798.633,-1815786.470,-1815788.593,-1815786.427,-1815807.833,-1815791.369,-1815790.992
25,220.00,-1815793.713,-1815786.447,-1815808.813,-1815785.905,-1815800.748,-1815788.694,-1815790.779,-1815788.638,-1815810.047,-1815793.588,-1815793.206
26,225.00,-1815795.948,-1815788.642,-1815811.007,-1815788.133,-1815802.882,-1815790.936,-1815792.985,-1815790.868,-1815812.281,-1815795.827,-1815795.438
27,230.00,-1815798.202,-1815790.856,-1815813.220,-1815790.379,-1815805.035,-1815793.198,-1815795.209,-1815793.117,-1815814.534,-1815798.085,-1815797.689
28,235.00,-1815800.475,-1815793.089,-1815815.452,-1815792.645,-1815807.207,-1815795.479,-1815797.453,-1815795.386,-1815816.806,-1815800.362,-1815799.960
29,240.00,-1815802.767,-1815795.341,-1815817.703,-1815794.930,-1815809.397,-1815797.779,-1815799.715,-1815797.673,-1815819.097,-1815802.658,-1815802.249
30,245.00,-1815805.079,-1815797.612,-1815819.973,-1815797.234,-1815811.607,-1815800.098,-1815801.997,-1815799.980,-1815821.408,-1815804.973,-1815804.558
31,250.00,-1815807.409,-1815799.902,-1815822.262,-1815799.557,-1815813.836,-1815802.436,-1815804.298,-1815802.306,-1815823.737,-1815807.307,-1815806.886
32,255.00,-1815809.759,-1815802.211,-1815824.570,-1815801.898,-1815816.083,-1815804.793,-1815806.617,-1815804.650,-1815826.086,-1815809.661,-1815809.232
33,260.00,-1815812.127,-1815804.539,-1815826.897,-1815804.259,-1815818.350,-1815807.169,-1815808.956,-1815807.014,-1815828.454,-1815812.033,-1815811.598
34,265.00,-1815814.515,-1815806.886,-1815829.244,-1815806.639,-1815820.635,-1815809.564,-1815811.313,-1815809.397,-1815830.841,-1815814.425,-1815813.983
35,270.00,-1815816.922,-1815809.252,-1815831.609,-1815809.038,-1815822.940,-1815811.979,-1815813.690,-1815811.799,-1815833.248,-1815816.836,-1815816.387
36,275.00,-1815819.348,-1815811.637,-1815833.993,-1815811.456,-1815825.263,-1815814.412,-1815816.086,-1815814.220,-1815835.673,-1815819.266,-1815818.810
37,280.00,-1815821.793,-1815814.041,-1815836.396,-1815813.893,-1815827.606,-1815816.865,-1815818.501,-1815816.660,-1815838.118,-1815821.715,-1815821.252
38,285.00,-1815824.258,-1815816.464,-1815838.819,-1815816.349,-1815829.967,-1815819.336,-1815820.935,-1815819.119,-1815840.581,-1815824.183,-1815823.713
39,290.00,-1815826.741,-1815818.907,-1815841.260,-1815818.824,-1815832.347,-1815821.827,-1815823.388,-1815821.598,-1815843.064,-1815826.670,-1815826.194
40,295.00,-1815829.244,-1815821.368,-1815843.720,-1815821.318,-1815834.747,-1815824.337,-1815825.860,-1815824.095,-1815845.566,-1815829.177,-1815828.693
41,300.00,-1815831.765,-1815823.848,-1815846.199,-1815823.832,-1815837.165,-1815826.866,-1815828.351,-1815826.612,-1815848.087,-1815831.702,-1815831.212
