;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
1;100;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;-1815746.017;;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;11;;9.09%;9.09%;9.09%;9.09%;9.09%;9.09%;9.09%;9.09%;9.09%;9.09%;9.09%
2;105;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;-1815747.762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;110;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;-1815749.531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;115;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;-1815751.322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;120;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;-1815753.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;125;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;-1815754.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;130;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;-1815756.827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;135;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;-1815758.705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;140;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;-1815760.604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;145;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;-1815762.524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
